ALB ,BSG 
ITGB3 ,TSPEAR 
EL52 ,TREML2 
EL52 ,ITGB3 
HEL111 ,HSP90B1 
CTSD ,OR3A2 
LTF ,FOLR1 
P4HB ,ALDOA 
TF ,GUSB 
APOC3 ,SCARB1 
ALB ,ITGB1
APOC1 ,IGF2R 
TGFBR2 ,LGALS3BP 
PSAP ,PKM 
VTN ,HSP90B1 
TFRC ,RYR1
SERPING1 ,SLC1A5 
ANXA2 ,S100A8 
CALU ,ITIH1 
CALU ,PF4V1 
TF ,EFNB1 
PNP ,HSP90B1 
FOLR1 ,RYR2 
APOC1 ,EFNB1 
ANXA1 ,DPP7 
ITGA5 ,PIGR 
ITGB3 ,PAPPA 
APOC3 ,ACVR2B 
ANXA5 ,ATP1B3 
APOC3 ,PAPPA 
PSAP ,PRSS3 
ANXA5 ,CALU 
P4HB ,ITGAV 
LAMC1 ,RYR2 
APOC3 ,HSD17B12 
ITGB3 ,SCARB1 
ITGB3 ,CD276 
FGA ,IGF2R 
LAMA5 ,ANXA5 
ANXA5 ,ERP44 
PSAP ,PSAP 
APOA2 ,SDF2 
EL52 ,KLK3 
TFRC ,RYR1 
GUSB ,PAPPA 
TF ,TACSTD2 
APOE ,PSAP 
HSP90B1 ,PPT1 
GSN ,P3H1 
ITGB1 ,SDF2 
ANXA1 ,NAXE 
EL52 ,HMGB2 
ITGA5 ,ALB 
LAMC1 ,FN1 
ESR1 ,CLU 
CLU ,S100A7 
ANXA1 ,SDF2L1 
PKM ,LGALS1 
ITGA4 ,ANXA2 
ITGB1 ,ITGAM 
SERPING1 ,ICAM4 
CP ,ITGA3 
SERPINA1 ,KRT1 
APOA2 ,NAXE 
APOC3 ,TGM4 
ITGA4 ,CD276 
F2 ,ITIH1 
PIGR ,ALB 
TFRC ,FN1 
EGFR ,DPP7 
KRT1 ,ITGB4
ALDOA ,ITGA3 
PSAP ,ITGB1 
TGFBR2 ,ANXA2 
ITGB2 ,DPP7 
SERPING1 ,DPP7 
VTN ,DPP7 
P4HB ,TFRC 
TGFBR2 ,DCD 
ANXA1 ,PRSS3 
ITGB1 ,CALU 
TF ,S100A7 
CLU ,SDF2L1 
EGFR ,LGALS3BP 
ALB ,ICAM4
EL52 ,HNRNPM
TF ,SAA4 
CFB ,C1QBP 
APOC3 ,ITGA3 
PIGR ,ITGA2 
APOE ,ANXA1 
LAMC1 ,PRSS3 
PKM ,SDF2L1 
F2 ,OR3A2 
PKM ,APOA1 
CFB ,HYOU1 
TF ,PPBP 
HP ,RYR2 
TOR1A ,SCARB1 
VTN ,SDF2L1 
APOC1 ,ITGA11 
ITGB5 ,YARS1 
P4HB ,KLK3 
P4HB ,PKM
APOE ,NAXE 
ITGB5 ,SERPIND1 
ITGB1 ,PLAUR
A2M ,TGM4 
APOE ,PCYOX1 
F2 ,ITGB1 
VTN ,ALB 
CD36 ,ITGB1
LOX ,HYOU1 
SERPING1 ,PSAP 
GABRA2 ,GABRB2 
APOC3 ,ALDOA 
TF ,SLC1A5
CFB ,CD44 
NR3C1 ,ANXA2 
HSP90B1 ,PKM 
ALB ,STOML2 
KRT1 ,RYR1 
CFD ,LGALS1 
ITGB1 ,CFD 
RPSA ,P4HB 
ANXA2 ,SAA4 
APOA2 ,SAR1A 
APOA2 ,ALDOA 
ITGA4 ,PKM
A2M ,P4HB 
LTF ,ANXA2 
TF ,RPSA 
ANXA1 ,ITGA11 
LDLR ,P3H1 
CD36 ,ITGA2 
ANXA5 ,PRSS3 
FGA ,ATP1B3 
FGA ,HSPG2 
LAMC1 ,TGM4 
LAMC1 ,SDF2L1 
VTN ,ADRA1B 
ITGB1 ,AP2M1
ITGA5 ,GUSB 
CST3 ,SDF4 
CFB ,SIAE 
FOLR1 ,ALB 
CFB ,PAPPA 
A2M ,APOA1 
SERPING1 ,CD276 
ANXA1 ,S100A4 
ITGA5 ,ITGA2 
LAMA5 ,SDF4 
M6PR ,OR8D2 
SERPIND1 ,BSG 
TFRC ,PIGR 
HP ,CD276 
KRT1 ,NAXE 
KRT1 ,PKM
ITGA4 ,ITIH1 
CTSD ,KLK3 
SERPINA1 ,CTSL 
EL52 ,SMPDL3A 
ANXA2 ,SLC1A5
TFRC ,SDF2 
LAMB1 ,THBS1 
P4HB ,SAR1A 
LAMA5 ,PKM 
SERPIND1 ,HSP90B1 
APOE ,ITGB1
EGFR ,ITGA3 
CP ,L1CAM 
PKM ,SIAE 
TF ,AHSG 
LAMC1 ,SDF4 
CFD ,PKM
FGA ,ITGA11 
CFD ,CD276 
ITGAV ,PRDX5 
ANXA5 ,PPT1 
A2M ,ERP44 
ALDOA ,APOA1 
CD36 ,SDF2L1 
KRT1 ,SDF2 
ITGAV ,FN1 
PIGR ,ITGB1
ITGB1 ,TF 
TOR1A ,ITIH1 
ALDOA ,PF4V1 
TFRC ,F2 
EGFR ,CD44 
LAMA5 ,HSPG2 
LTF ,PRSS3 
HP ,SIAE 
APOC3 ,IGF2R 
APOA2 ,PKM
APOA2 ,CD276 
PKM ,SLC1A5
CP ,PSAP 
APOE ,SERPIND1 
TFRC ,SLC1A5
SERPING1 ,SCARB1 
CALU ,SAA4 
APOC1 ,PRDX4 
EL52 ,ITGA6
SERPING1 ,FOLR1 
P4HB ,APOA1 
ALB ,FN1 
F2 ,SCARB1 
KRT1 ,AHSG 
PKM ,RYR2 
TF ,ITGA11 
ITGB1 ,GDF10 
LAMB1 ,P3H1 
ITGA4 ,PCYOX1 
LAMC1 ,P4HB 
ALB ,HSPG2 
LTF ,HYOU1 
EGFR ,IGF2R 
RPSA ,CALU 
FGA ,F2 
CALR ,CALR 
CLU ,HMGB1 
TOR1A ,M6PR 
ANXA5 ,RYR2 
VTN ,HMGB2 
APOC1 ,FOLR1 
ANXA5 ,LGALS1 
ITGB3 ,SDF2 
PLXNB2 ,ITGA2 
APOE ,PRDX4 
PKM ,ITGB1 
CFB ,THBS1 
CST3 ,CLU 
ANXA2 ,PSAP 
ITGAV ,ERP44 
ALDOA ,KLK3 
ITGB5 ,SMPDL3A 
APOE ,SDF2 
LAMC1 ,ITGB1
CP ,BTD 
SERPING1 ,CALR 
ITGA4 ,BTD 
P4HB ,SAA4 
TFRC ,APOA1 
CP ,CALR 
ITGB5 ,CALU 
EL52 ,ITGA6 
ITGB5 ,ITGA6
ALB ,B2M 
LAMC1 ,ANXA2 
HSP90B1 ,HSP90B1 
ANXA5 ,S100A7 
ALDOA ,BTD 
ITGB2 ,TSPEAR 
EGFR ,SAR1A 
ITGB3 ,ITGB4 
EGFR ,ITGB1 
P4HB ,ITGB1
LTF ,IGFBP3 
PKM ,TREML2 
LGALS1 ,PPT1 
ITGA4 ,PRDX5 
F2 ,SDF2L1 
LTF ,LGALS1 
INHBA ,C1QBP 
ALDOA ,SDF2L1 
VTN ,HMGB1 
KRT1 ,HSP90B1 
TF ,COL5A1 
A2M ,ITGA2 
APOC1 ,CRISPLD2 
FN1 ,BSG 
A2M ,HSPG2 
APOE ,CALU 
CALR ,HSP90B1 
APOC1 ,GUSB 
VTN ,PRDX5 
APOE ,ITGAV 
ITGA5 ,SDF2L1 
LAMC1 ,CDH1 
APOC3 ,STOML2 
RPSA ,ERP44 
ANXA5 ,PKM
ITGB1 ,AOAH 
APOC1 ,PNLIP 
F2 ,PKM 
LTF ,SLC1A5 
ITGAV ,ITGA6
ITGB1 ,ITGB5 
CRTAP ,DCD 
ANXA1 ,CTSL 
ITGB3 ,ITGA2 
F7,SLC1A5 
PKM ,PKM
PNP ,DCD 
TGFBR2 ,P3H1 
ITGB1,ITGAV 
ITGB1 ,PRDX4 
ITGB3 ,FOLR1 
ITGB1 ,SLC1A5
APOC3 ,S100A7 
ITGA4 ,PRSS3 
CALU ,B2M 
ITGB3 ,ALB 
ITGB5 ,HSD17B12 
VTN ,B2M 
ITGB1 ,ITGB6 
TGFBR2 ,HYOU1 
APOC1 ,YARS1 
TF ,SMPDL3A 
ANXA1 ,CALU 
VTN ,FOLR1 
GUSB ,ITGAV 
PKM ,TSPEAR 
LTF ,ANXA5 
ITGB4 ,C1QBP 
ALB ,AZGP1 
CALU ,TREML2 
TGFBR2 ,BSG 
EL52 ,TGFB2 
CP ,SDF2 
LAMC1 ,PIGR 
FOLR1 ,ANXA2 
APOC3 ,PKM
ITGB5 ,PTPRJ 
NR3C1 ,HSPA13 
HEL111 ,SDF2 
SERPINA1 ,SDF2L1 
SERPINA1 ,PRDX5 
CFB ,CLU 
P4HB ,AHSG 
HLA-A ,BSG 
ITGB2 ,CD44 
SERPINA1 ,OR3A2 
ITGB3 ,ITGB4
CP ,ITGB4 
ITGB3 ,PKM 
P4HB ,RPSA 
APOC1 ,CTSB 
EGFR ,HMGB1 
VTN ,ERP44 
ALB ,SERPINA12 
APOA2 ,F2 
TOR1A ,PKM
ITGA5 ,F2 
ALB ,CTSH 
EGFR ,PSAP 
EL52 ,CHI3L2 
TF ,FGA 
CALU ,S100A8 
FGA ,ITGB1
APOA2 ,IGF2R 
EL52 ,ITGB6 
HP ,ITGB1 
CP ,OR2T6 
ALDOA ,LAMC1 
ANXA1 ,PRDX4 
CFB ,CD276 
ITGB3 ,M6PR 
HP ,M6PR 
TF ,YARS1 
HP ,CD44 
ALB ,AHSG 
CST3 ,ANXA2 
APOE ,RYR1 
CP ,PRSS3 
TF ,FN1 
CD44 ,SDF4 
SERPING1 ,PRDX4 
ANXA2 ,BTD 
CP ,SCARB1 
ITGA4 ,ITGB1 
LAMA5 ,ANXA2 
APOE ,EFNB1 
GUSB ,ITIH1 
TF ,AZGP1 
ITGA4 ,FOLR1 
PIGR ,PRSS3 
ITGB5 ,ITGB6 
CFD ,SAA4 
ITGB1 ,FGA 
KRT1 ,ITGB1
APOC1 ,P4HB 
APOC1 ,SDF2L1 
ANXA2 ,TFRC 
FOLR1 ,ITGA2 
EGFR ,ERP44 
ITGB2 ,ITGA5 
APOC3 ,TACSTD2 
ITGA4 ,SCARB1 
ITGB5 ,ADAM15
ITGA4 ,ITGA3 
SERPING1 ,SAR1A 
ANXA2 ,TREML2 
P4HB ,APOA2 
ITGB1 ,CDH1 
ITGA5 ,TGM4 
ALDOA ,TFRC 
SERPINA1 ,RYR2 
LAMA5 ,DCD 
ITGB3 ,ANXA2 
ITGB2 ,ITGAV 
ANXA1 ,YARS1 
CST3 ,ITGB1 
ITGA5 ,CTSD 
HEL111 ,FOLR1 
PSAP ,ITGA11 
FOLR1 ,ADRA1B 
CLU ,APOA2 
VTN ,CD44 
CFB ,SDF2L1 
SERPINA1 ,HMGB2 
KRT1 ,ERP44 
CTSD ,PRDX5 
CFB ,TSPEAR 
ANXA1 ,SAA4 
SERPING1 ,HSP90B1 
ALDOA ,SDF2 
ITGB5 ,CD151 
HEL111 ,CTSD 
VTN ,NAXE 
CTSL ,HSPA13 
TF ,PAPPA 
ITGB5 ,CD9 
F2 ,CD44 
ITGB1 ,SERPIND1 
PKM ,ADRA1B 
ANXA1 ,PSAP 
CD44 ,C1QBP 
ANXA5 ,APOA2 
ANXA5 ,SLC1A5 
INHBA ,PPT1 
LTF ,SLC1A5
HP ,ITGAV 
LAMB1 ,IGF2R 
FGA ,ANXA2 
KRT1 ,FOLR1 
HP ,TREML2 
CFD ,TREML2 
LAMC1 ,YARS1 
ANXA5 ,M6PR 
ITGA5 ,ITGB1
ITGAV ,PIGR 
ITGB1 ,PKM
APOC1 ,ACVR2B 
ITGA4 ,SLC1A5
NR3C1 ,HMGB1 
CST3 ,SLC1A5 
ITGB5 ,BDNF 
APOC1 ,DPP7 
ITGB5 ,ACVR2B 
CLU ,HMGB2 
CD36 ,PAPPA 
ITGB5 ,PIGR 
FN1 ,ANXA5 
APOC1 ,ITGA4 
APOC1 ,S100A8 
GUSB ,PKM 
ITGB1 ,AIP 
ALB ,TACSTD2 
CLU ,APOA1 
INHBA ,BSG 
ITGB1 ,LAMA3 
P4HB ,S100A8 
SERPING1 ,ERP44 
F2 ,ANXA5 
F2 ,TSPEAR 
ITGB2 ,ITIH1 
NR3C1 ,HYOU1 
KRT1 ,TREML2 
ITGB1 ,CFH 
ITGA5 ,SLC1A5 
CFB ,COL5A1 
ITGA4 ,CTSL 
VTN ,BTD 
EGFR ,PCYOX1 
PSAP ,TGM4 
TF ,TGFB2 
GPC4 ,HYOU1 
ITGB3 ,SDF2L1 
ITGB1 ,PF4V1 
APOC1 ,BDNF 
FOLR1 ,SLC1A5 
ITGB5 ,CDH1 
ALB ,VCP 
ITGB5 ,CD47 
VTN ,OR3A2 
CLU ,MYDGF 
P4HB ,HSD17B12 
APOE ,AHSG 
ITGAV ,FGA 
RPSA ,TSPEAR 
KRT1 ,CD276 
PKM ,PCYOX1 
KRT1 ,PRDX5 
FOLR1 ,NAXE 
PKM ,P4HB 
EGFR ,L1CAM 
ESR1 ,PPT1 
APOA2 ,FOLR1 
FOLR1 ,KLK3 
ITGB3 ,FGA 
ITGA5 ,KLK3 
SERPINA1 ,ERP44 
EL52 ,EFNB1 
HP ,PRSS3 
APOC3 ,FGFR1 
PLXNB2 ,ITGB1
P4HB ,ITGA3 
CD36 ,NAXE 
GPC4 ,P3H1 
APOC3 ,RPSA 
F2 ,CD276 
HSP90B1 ,ITIH1 
CFB ,ATP1B3 
RPSA ,SDF2L1 
HP ,SDF2L1 
TFRC ,AHSG 
FGA ,ANXA5 
SERPINA1 ,HSP90B1 
CLU ,RYR2 
VTN ,APOA2 
ANXA5 ,SDF2L1 
ITGAV ,F2 
CALU ,KLK3 
A2M ,PRDX5 
APOC1 ,TACSTD2 
ITGB5 ,ITGB3 
CTSD ,ITGA2 
VTN ,PPBP 
FGA ,ITGB4
LTF ,NAXE 
CFD ,CALR 
ITGB3 ,KRT1 
SERPINA1 ,P4HB 
EL52 ,SAA4 
GUSB ,ITGA2 
CD36 ,ANXA2 
CRTAP ,ANXA2 
ITGB1 ,ACVR2B 
FOLR1 ,ITGB1 
APOC3 ,CALU 
GPC4 ,SDF4 
PNP ,ANXA5 
A2M ,FGA 
EL52 ,APOA1 
CTSL ,SLC1A5 
EL52 ,C2 
PSAP ,KLK3 
ITGB3 ,BTD 
EGFR ,ALDOA 
CD36 ,ALB 
CP ,COL5A1 
PSAP ,PAPPA 
ANXA2 ,ITGA3 
SERPINA1 ,SLC1A5
ICAM2 ,DCD 
CFD ,ITGB1 
ITGB1 ,ERBB2 
F2 ,ITGB4 
EL52 ,AZGP1 
ALB ,COL5A1 
CST3 ,P3H1 
APOE ,C1QA 
CST3 ,LGALS3BP 
CP ,ANXA2 
TFRC ,HNRNPM
ITGA5 ,CDH1 
CFD ,CD44 
EGFR ,LGALS1 
A2M ,CALR 
APOA2 ,PCYOX1 
A2M ,STOML2 
CALU ,KRT1 
ITGB3 ,L1CAM 
GUSB ,OR8D2 
FOLR1 ,F7 
ITGB5 ,ITGA6 
CD36 ,HSP90B1 
EL52 ,FOLR1 
ITGB2 ,CD276 
APOA2 ,CTSH 
ITGB2 ,LGALS3BP 
LTF ,TSPEAR 
PKM ,KRT1 
HSP90AA1,HYOU1 
TFRC ,FGA 
CP ,NAXE 
ITGB3 ,PSAP 
APOA2 ,PRDX5 
ALDOA ,FOLR1 
ANXA5 ,CTSL 
LTF ,SCARB1 
EGFR ,AP2M1
APOA2 ,TFRC 
EL52 ,ITGAM 
ITGB4 ,P3H1 
PKM ,ANXA1 
ITGA5 ,ACVR2B 
GPC4 ,HSPA13 
FOLR1 ,IGF2R 
APOA2 ,RPSA 
APOC3 ,FSTL1 
A2M ,CFD 
APOC1 ,AZGP1 
APOE ,S100A4 
P4HB ,OR8D2 
PSAP ,ITGA2 
APOE ,CD276 
ITGB1 ,LRP1 
PIGR ,F7 
CFD ,DEFA1 
HP ,ITGA2 
CD36 ,CTSL 
SERPING1 ,PRDX5 
CFD ,ALDOA 
ANXA5 ,ANXA1 
CD36 ,SLC1A5 
P4HB ,FGA 
LAMA5 ,THBS1 
CFD ,ERP44 
TFRC ,ICAM4 
PLXNB2 ,HSPG2 
TOR1A ,BTD 
LTF ,PRDX5 
SERPINA1 ,SDF2 
SERPINA1 ,PKM 
APOE ,STOML2 
GUSB ,ANXA2 
HEL111 ,SIAE 
TOR1A ,PCYOX1 
ESR1 ,RYR2 
APOA2 ,APOA1 
RPSA ,TFRC 
ITGAV ,KLK3 
KRT1 ,RYR1
LGALS1 ,BSG 
TF ,CFB 
RPSA ,CTSL 
HEL111 ,NAXE 
PSAP ,ICAM4 
ITGAV ,OR8D2 
APOC3 ,ELN 
LTF ,AHSG 
ITGB3 ,SLC1A5 
ALB ,AIP 
LAMC1 ,ITGA4 
TFRC ,SERPIND1 
ANXA1 ,EL52 
CRTAP ,C1QBP 
FGA ,GUSB 
VTN ,BDNF 
APOC1 ,B2M 
RPSA ,APOA1 
APOE ,LGALS1 
ITGAV ,ITGA6 
EGFR ,CALR 
ITGB1 ,PPBP 
GABRA2 ,GABRB3 
ITGB5 ,GDF10 
GSN ,SDF4 
APOA2 ,ERP44 
HP ,SDF2 
GUSB ,ADRA1B 
LAMA5 ,P4HB 
VTN ,CCL7 
FGA ,PKM
CFB ,ITGB1 
ITGB5 ,SFRP2 
APOC1 ,ITGB1
ALB ,ITGA6 
F2 ,BTD 
HP ,IGF2R 
APOE ,FSTL1 
APOE ,FOLR1 
PSAP ,SMPDL3A 
CP ,PCYOX1 
CP ,CD276 
ITGB3 ,CTSL 
TF ,TF 
VTN ,CALU 
PKM ,BTD 
CST3 ,TREML2 
TF ,CALU 
LAMB1 ,L1CAM 
ITGAV ,PLAUR
TGFBR2 ,HSPA13 
ITGB4 ,DCD 
THBS1 ,HYOU1 
NR3C1 ,PF4V1 
ANXA1 ,CD276 
CRTAP ,SDF4 
CALU ,STOML2 
SERPIND1 ,HYOU1 
CST3 ,SDF2 
CD36 ,FN1 
SERPIND1 ,DCD 
F2 ,M6PR 
ALDOA ,CALU 
SERPIND1 ,HMGB1 
CALR ,ANXA2 
ITGB3 ,OR8D2 
SERPING1 ,S100A7 
APOC3 ,B2M 
A2M ,ACVR2B 
SERPINA1 ,APOA2 
P4HB ,PSAP 
APOA2 ,S100A7 
EL52 ,FGB 
APOC1 ,CD44 
APOE ,SDF2L1 
ANXA2 ,ACVR2B 
ITGB1 ,ADRA1B 
GPC4 ,PPT1 
APOE ,F2 
ANXA1 ,ALDOA 
CLU ,PRDX5 
GUSB ,OR3A2 
CFB ,L1CAM 
TFRC ,SAA4 
ANXA5 ,ITGB4
ITGB5 ,ITGA4 
A2M ,OR3A2 
CLU ,S100A8 
CFD ,ITGA2 
CLU ,ITGB1 
ITGB5 ,CRISPLD2 
PIGR ,ITGA4 
F2 ,P4HB 
HEL111 ,TREML2 
EGFR ,THBS1 
ITGB5 ,RYR1
CFD ,CTSD 
INHBA ,SDF2L1 
LTF ,OR8D2 
PSAP ,PIGR 
PKM ,TFRC 
EL52 ,HP 
ITGAV ,SLC1A5
ITGA4 ,COL5A1 
ITGB4 ,PPT1 
CP ,ANXA5 
F2 ,PRSS3 
ITGB3 ,TGM4 
CLU ,SERPIND1 
ALDOA ,TREML2 
ITGB5 ,CTSH 
CP ,FOLR1 
VTN ,AHSG 
PLXNB2 ,SLC1A5 
ITGB3 ,PCYOX1 
PKM ,F7 
ITGA5 ,ERP44 
ITGB3 ,ADRA1B 
ANXA1 ,ITGB4
APOE ,FGA 
GUSB ,SLC1A5
TFRC ,OR8D2 
APOC1 ,SERPINA3 
ANXA2 ,ICAM4 
APOC1 ,SERPINE2
PIGR ,ICAM4 
P4HB ,F2 
CNMD,FN1 
VTN ,SAR1A 
VTN ,ANXA1 
CFB ,ITGB4 
CALR ,PKM 
APOE ,ITGA3 
ITGA4 ,SIAE 
ESR1 ,HYOU1 
APOE ,GUSB 
CST3 ,SCARB1 
NR3C1 ,M6PR 
HSP90B1 ,DCD 
ANXA5 ,PF4V1 
FGA ,RYR1 
ITGA3 ,ITIH1 
ANXA1 ,PCYOX1 
TF ,CTSG 
CFD ,DEFA3 
ITGB1 ,APOA2 
TF ,PIGR 
CFD ,P4HB 
VTN ,SLC1A5
F2 ,F7 
ANXA1 ,TFRC 
ANXA1 ,VCP 
ANXA2 ,TSPEAR 
PSAP ,ERP44 
CFD ,PRDX4 
TFRC ,AP2M1
SERPING1 ,NAXE 
ALDOA ,FN1 
CFD ,SCARB1 
LAMA5 ,CTSL 
CALU ,S100A4 
TGFBR2 ,SDF4 
TFRC ,PF4V1 
CALU ,NAXE 
CLU ,ITGB1
ITGA4 ,ITGAV 
TOR1A ,SAR1A 
KRT1 ,SCARB1 
ITGA5 ,PRSS3 
CLU ,ITGB4 
EL52 ,HSPG2 
TOR1A ,CD276 
HLA-A ,CLU 
PNP ,PKM
KRT1 ,VCP 
ITGB5 ,NELL1 
ITGB5 ,CTSG 
CTSD ,SLC1A5
NR3C1 ,APOA2 
EGFR ,HNRNPM 
ITGB3 ,GUSB 
ITGB1 ,COL6A3
ITGB1 ,GPC4 
A2M ,PF4V1 
TF ,C1QA 
FGA ,SLC1A5 
ITGB1 ,APOA1 
EGFR ,PPBP 
CALR ,ALB 
APOC3 ,SERPINA3 
SERPING1 ,CD44 
F2 ,IGF2R 
ADAM17 ,HYOU1 
SERPING1 ,ALDOA 
VTN ,OR2T6 
APOC1 ,ITGA5 
APOC3 ,MYDGF 
VTN ,TFRC 
FOLR1 ,HSP90B1 
INHBA ,HSPA13 
HSP90AA1,PKM
SERPIND1 ,CALR 
CFB ,SDF4 
ALB ,F2 
LTF ,OR2T6 
PIGR ,ERP44 
HEL111 ,PRDX5 
GPC4 ,BSG 
EGFR ,DCD 
ALB ,PIGR 
CFD ,FOLR1 
ITGB5 ,RYR1 
VTN ,TACSTD2 
TF ,GABBR1 
KRT1 ,AP2M1
HP ,PKM
CLU ,ERP44 
NR3C1 ,ATP1B3 
SERPINA1 ,PRDX4 
CALU ,CTSL 
ALDOA ,FGA 
ANXA1 ,LAMC1 
LTF ,F7 
LTF ,ALDOA 
VTN ,SCARB1 
CLU ,PKM
ANXA2 ,FSTL1 
ITGA5 ,ITGA6
PNP ,BSG 
PKM ,S100A8 
EL52 ,S100A7 
ANXA1 ,PPBP 
HLA-A ,DCD 
PKM ,CD276 
GSN ,HSPA13 
FOLR1 ,ITGB1
APOC3 ,ITGA11 
FOLR1 ,CTSD 
APOC3 ,CRISPLD2 
APOA2 ,GABBR1 
PLXNB2 ,CALR 
A2M ,ITGB4
CRTAP ,ITGB1
CD36 ,DCD 
F2 ,ITGA3 
P4HB ,PPBP 
SERPINA1 ,SAR1A 
M6PR ,ITIH1 
GSN ,DPP7 
A2M ,ICAM4 
ITGB3 ,ANXA5 
VTN ,PKM
FOLR1 ,SLC1A5
F2 ,PCYOX1 
GUSB ,ICAM4 
VTN ,ITGB1 
ITGB5 ,AP2M1 
CLU ,ITGA2 
CNMD ,C1QBP 
ITGB2 ,SIAE 
CD44 ,ALB 
ANXA5 ,SDF2 
VTN ,STOML2 
ITGB5 ,PRSS1 
PIGR ,HSP90B1 
GPC4 ,TSPEAR 
ITGA4 ,ALDOA 
ITGAV ,ITGAM 
EGFR ,SAA4 
ANXA1 ,B2M 
ANXA1 ,STOML2 
ITGA4 ,P4HB 
EGFR ,HMGB2 
KRT1 ,ITGA11 
FOLR1 ,SDF2L1 
ITGB3 ,FN1 
HEL111 ,DPP7 
CFB ,SLC1A5 
ITGB1 ,MAG 
APOE ,YARS1 
INHBA ,HYOU1 
FN1 ,DPP7 
LTF ,PKM 
ITGB5 ,C1QA 
ANXA2 ,APOE 
GSN ,ERP44 
ITGB1 ,SAA4 
CLU ,GABBR1 
VTN ,IGF2R 
LTF ,CD276 
ANXA1 ,F7 
LAMC1 ,F2 
CRTAP ,ALB 
TF ,PRSS1 
TF ,HSPG2 
TFRC ,PPBP 
LAMC1 ,PSAP 
APOC3 ,GABBR1 
ITGB2 ,THBS1 
GUSB ,CALR 
VTN ,CD276 
APOC3 ,PCYOX1 
NRP1 ,HYOU1 
CRTAP ,HMGB1 
ITGA5 ,OR8D2 
CFD ,TSPEAR 
HEL111 ,PKM 
ITGB3 ,TFRC 
ITGA5 ,VCP 
VTN ,TGM4 
ITGA5 ,FGA 
GUSB ,ITGA4 
ITGA5 ,ANXA5 
IGF2R ,DCD 
TOR1A ,PRSS3 
TF ,CRISPLD2 
PSAP ,NAXE 
HSP90B1 ,ATP1B3 
CLU ,SAR1A 
A2M ,PAPPA 
KRT1 ,APOA2 
PSAP ,CTSD 
HP ,ERP44 
GSN ,HSP90B1 
PSAP ,RPSA 
IGF2R ,SDF4 
CALU ,SERPIND1 
PSAP ,HMGB1 
KRT1 ,COL5A1 
GPC4 ,CTSL 
ALDOA ,ALDOA 
TFRC ,F7 
PSAP ,KRT1 
PSAP ,SLC1A5
PKM ,ICAM4 
ALB ,SFRP2 
APOC3 ,S100A8 
FGA ,FGA 
P4HB ,ITGA11 
VTN ,P4HB 
ITGA4 ,ALB 
TOR1A ,HMGB1 
ITGAV ,NAXE 
M6PR ,SDF2L1 
LAMB1 ,COL5A1 
F7 ,OR2T6 
FGA ,SDF4 
NR3C1 ,ALB 
ITGAV ,ADRA1B 
GUSB ,CTSL 
ANXA5 ,TREML2 
APOC3 ,IGFBP3 
APOC3 ,FGFR2
LAMC1 ,STOML2 
SERPING1 ,ITGB1
ALDOA ,PCYOX1 
F2 ,ERP44 
LTF ,ITIH1 
PSAP ,SDF2 
VTN ,CTSL 
PNP ,ITGB1
VTN ,MYDGF 
CLU ,PRSS1 
CP ,SLC1A5 
ANXA2 ,F2 
ITGB5 ,ITGAM 
CD44 ,HSP90B1 
TF ,ITGA4 
CALR ,ITIH1 
EL52 ,COL5A1 
ITGB5 ,ADAM15 
ALB ,C2 
PSAP ,P4HB 
ITGB1 ,PLAUR 
ITGA4 ,ANXA1 
ALB ,PNLIP 
CALR ,ANXA5 
TF ,ITGB3 
EL52 ,EPHA2 
ALDOA ,VCP 
TF ,CFD 
APOC3 ,S100A4 
EGFR ,PF4V1 
APOA2 ,APOA2 
A2M ,F2 
ESR1 ,ITIH1 
ANXA2 ,ALDOA 
ALB ,AP2M1 
HP ,CALR 
KRT1 ,APOA1 
LAMC1 ,KRT1 
ITGB1 ,TGFB2 
ANXA5 ,IGF2R 
CFB ,TREML2 
CALU ,LGALS1 
ANXA2 ,MYDGF 
SERPING1 ,C1QA 
M6PR ,RYR2 
CST3 ,PKM 
KRT1 ,B2M 
F2 ,SIAE 
APOC3 ,ITGA4 
ITGB2 ,IGF2R 
ITGB1 ,ADAMTS1 
HEL111 ,SCARB1 
ITGB3 ,ERP44 
LAMC1 ,ITGAM 
APOC3 ,BDNF 
SERPING1 ,LGALS1 
ANXA1 ,ADRA1B 
APOA2 ,CALR 
APOE ,CRISPLD2 
CST3 ,ATP1B3 
LAMB1 ,ITGA11 
ALDOA ,EL52 
TOR1A ,PRDX5 
MMP9 ,PPT1 
PLXNB2 ,THBS1 
ANXA2 ,CTSD 
TGFBR2 ,SDF2L1 
TGFBR2 ,HSP90B1 
CRTAP ,APOA1 
ALDOA ,SCARB1 
FGA ,PCYOX1 
PKM ,KLK3 
A2M ,S100A7 
FGA ,RYR1
EGFR ,PIGR 
CP ,THBS1 
PIGR ,PAPPA 
GUSB ,GUSB 
ITGB1 ,EL52 
ITGB5 ,TF 
ANXA2 ,AHSG 
LAMC1 ,VCP 
FOLR1 ,TGM4 
KRT1 ,PCYOX1 
ITGB1 ,RPSA 
ITGAV ,KRT1 
A2M ,LGALS1 
CLU ,ALB 
ANXA2 ,TACSTD2 
LAMB1 ,ITGAV 
ITGB1 ,HNRNPM 
F2 ,PAPPA 
CST3 ,ANXA5 
P4HB ,YARS1 
GUSB ,CTSD 
TGFBR2 ,ITIH1 
CTSD ,PKM
PNP ,CALR 
